Name,Chords
Os Paralamas Do Sucesso - Lanterna Dos Afogados,"[Intro] B9  B9(11+)  A#m  D#m7  
        B9  B9(11+)  A#m  D#m7 
        B9  B9(11+)  A#m  D#m7   
        E9

   B9       B9(11+)  A#m      D#m7
E|----------------------------------6-------|
B|-----7--------6--------6----------7-------|
G|---6--------6--------6----------6---------|
D|-9--------9--------8----------8-----------|
A|----------------------------6-------------|
E|------------------------------------------|

   E9
E|-7----7-----------------------------------|
B|-7----7-----------------------------------|
G|-9----9-----------------------------------|
D|-9----9-----------------------------------|
A|-7----7-----------------------------------|
E|-0----0-----------------------------------|
   ↓    ↑

[Primeira Parte]

             B9
Quando tá escuro
             B9(11+)
E ninguém te ouve
                A#m
Quando chega a noite
        D#m7
E você pode chorar
               B9
Há uma luz no túnel
            B9(11+)
Dos desesperados
               A#m
Há um cais de porto
             D#m7
Pra quem precisa chegar
             B9
Eu tô na lanterna
        B9(11+)
Dos afogados
              A#m
Eu tô te esperando
           D#m7       E9
Vê se não vai demorar

[Segunda Parte]

           B9
Uma noite longa
              B9(11+)
Pra uma vida curta
                 A#m
Mas já não me importa
         D#m7
Basta poder te ajudar
              B9
E são tantas marcas
              B9(11+)
Que já fazem parte
                A#m
Do que eu sou agora
           D#m7
Mas ainda sei me virar
             B9
Eu tô na lanterna
        B9(11+)
Dos afogados
              A#m
Eu tô te esperando
           D#m7       E9
Vê se não vai demorar

[Solo de Sax]  B5  C#5/G#  B5  C#5/G#
               A#5  B5  F#5

[Terceira Parte]

           B9
Uma noite longa
              B9(11+)
Pra uma vida curta
                 A#m
Mas já não me importa
         D#m7
Basta poder te ajudar
             B9
Eu tô na lanterna
        B9(11+)
Dos afogados
              A#m  D#m7
Eu tô te esperando

[Solo de Guitarra]

Parte 1 de 4
E|-----------------------------------------------------|
B|-14--------------------14----------------------------|
G|-13b15r13p11--13b15~------13b15r13~---13b15r13p11----|
D|-----------------------------------------------------|
A|--------------------------------------------------13~|
E|-----------------------------------------------------|

Parte 2 de 4
E|-------------------------14--------------------------|
B|------------------14b16-----14b16r14p11--14-14b16r14-|
G|-----11---10~----------------------------------------|
D|-----------------------------------------------------|
A|-/13----x--------------------------------------------|
E|-----------------------------------------------------|

E|-11-------13~---11-------14~------14----13~---11-----|
B|----14-11----------14-11-------11----11----------14--|
G|-----------------------------------------------------|
D|-----------------------------------------------------|
A|-----------------------------------------------------|
E|-----------------------------------------------------|

Parte 3 de 4
E|---------11-----------11-----------11----------------|
B|-b16r-------14b16r-------14b16r-------14b16r---------|
G|-----------------------------------------------------|
D|-----------------------------------------------------|
A|-----------------------------------------------------|
E|-----------------------------------------------------|

E|-11--------------------------------------------------|
B|----14b16---b16-b16-b16r-b15r--b16r--b16r--b16r--b16r|
G|-----------------------------------------------------|
D|-----------------------------------------------------|
A|-----------------------------------------------------|
E|-----------------------------------------------------|

E|--------------------------14-------------------------|
B|-b16r--b16r--b16r--b16-------14b16--14~--------------|
G|-----------------------------------------------------|
D|-----------------------------------------------------|
A|-----------------------------------------------------|
E|-----------------------------------------------------|

Parte 4 de 4
E|----19b21~---19-18-16--------------------------------|
B|-16-------------------19-16-19----16-19-16~----------|
G|-------------------------------18--------------------|
D|-----------------------------------------------------|
A|-----------------------------------------------------|
E|-----------------------------------------------------|"
Jota Quest - O Sol,"[Intro] A  E  G  D
        A  E  G  D

[Primeira Parte] 

A
Ei, dor
             E
Eu não te escuto mais
   G                  D
Você não me leva a nada
A
Ei, medo
             E
Eu não te escuto mais
   G                  D
Você não me leva a nada

[Refrão] 

A
  E se quiser saber
    E
Pra onde eu vou
    D
Pra onde tenha Sol
A
É pra lá que eu vou

A
  E se quiser saber
    E
Pra onde eu vou
    D
Pra onde tenha Sol
A
É pra lá que eu vou

( A  E  G  D )

[Primeira Parte] 

A
Ei, dor
             E
Eu não te escuto mais
   G                  D
Você não me leva a nada
A
Ei, medo
             E
Eu não te escuto mais
   G                  D
Você não me leva a nada

[Refrão] 

A
  E se quiser saber
    E
Pra onde eu vou
    D
Pra onde tenha Sol
A
É pra lá que eu vou

A
  E se quiser saber
    E
Pra onde eu vou
    D
Pra onde tenha Sol
A
É pra lá que eu vou

[Solo] G/A  A  G/A  A
       G/A  A  G/A  A

[Refrão] 

A
  E se quiser saber
    E
Pra onde eu vou
    D
Pra onde tenha Sol
A
É pra lá que eu vou

A
  E se quiser saber
    E
Pra onde eu vou
    D
Pra onde tenha Sol
A
É pra lá que eu vou"
O Rappa - A Feira,"[Intro] G  D  C
        G  D  C

[Refrão]

G         D                          C
É dia de feira, quarta-feira, sexta-feira

Não importa a feira  
G         D              C
É dia de feira, quem quiser pode chegar
G         D                          C
É dia de feira, quarta-feira, sexta-feira

Não importa a feira  
G         D              C
É dia de feira, quem quiser pode chegar

[Primeira Parte]

       G
Vem maluco, vem madame
        D
Vem Maurício, vem atriz
  C
Pra comprar comigo
       G
Vem maluco, vem madame
        D
Vem Maurício, vem atriz
  C
Pra levar comigo

[Segunda Parte]

 G             D
Tô vendendo ervas       
  C
Que curam e acalmam     
 G             D
Tô vendendo ervas       
        C
Que Aliviam e temperam  

[Terceira Parte]

C            G/B       Am
 Mas eu não sou autorizado
          D       Em
Quando o rapa chega

Eu quase sempre escapo
      A
Quem me fornece

É que ganha mais

A clientela é vasta, eu sei
C             G/B      Am
 Porque os remédios normais
     D         Em
Nem sempre amenizam a pressão
    A
Amenizam a pressão
    Em
Amenizam a pressão

( G  D  C )
( G  D  C )

[Refrão]

G         D                          C
É dia de feira, quarta-feira, sexta-feira

Não importa a feira  
G         D              C
É dia de feira, quem quiser pode chegar
G         D                          C
É dia de feira, quarta-feira, sexta-feira

Não importa a feira  
G         D              C
É dia de feira, quem quiser pode chegar

[Primeira Parte]

       G
Vem maluco, vem madame
        D
Vem Maurício, vem atriz
  C
Pra comprar comigo
       G
Vem maluco, vem madame
        D
Vem Maurício, vem atriz
  C
Pra levar comigo

[Segunda Parte]

 G             D
Tô vendendo ervas       
  C
Que curam e acalmam     
 G             D
Tô vendendo ervas       
        C
Que Aliviam e temperam  

 G             D
Tô vendendo ervas       
  C
Que curam e acalmam     
 G             D
Tô vendendo ervas       
        C
Que Aliviam e temperam  

[Terceira Parte]

C            G/B       Am
 Mas eu não sou autorizado
          D       Em
Quando o rapa chega

Eu quase sempre escapo
      A
Quem me fornece

É que ganha mais

A clientela é vasta, eu sei
C             G/B      Am
 Porque os remédios normais
     D         Em
Nem sempre amenizam a pressão
    A
Amenizam a pressão
    Em
Amenizam a pressão 
    A
Amenizam a pressão

[Ponte]

 B
Porque os remédios normais

Não amenizam, pressão
 B
Porque os remédios normais
                  
Não amenizam, pressão

 B
Porque os remédios normais

Não amenizam, pressão
 B
Porque os remédios normais

Não amenizam, pressão

 B
Porque os remédios normais

Não amenizam, pressão
 B
Porque os remédios normais

Não amenizam, pressão

[Refrão]

G         D                          C
É dia de feira, quarta-feira, sexta-feira

Não importa a feira  
G         D              C
É dia de feira, quem quiser pode chegar

G         D                          C
É dia de feira, quarta-feira, sexta-feira

Não importa a feira  
G         D              C
É dia de feira, quem quiser pode chegar

G         D                          C
É dia de feira, quarta-feira, sexta-feira

Não importa a feira  
G         D              C
É dia de feira, quem quiser pode chegar
G         D                          C
É dia de feira, quarta-feira, sexta-feira

Não importa a feira  
G         D              C
É dia de feira, quem quiser pode chegar"
Barão Vermelho - Pro Dia Nascer Feliz,"[Intro] A  D/A  F/A  E/A  D/A  A

[Tab - Intro]

   A              D/A
E|------------------------------------------|
B|-2--------------3-------------------------|
G|-2--------------2-------------------------|
D|-2--------------4-------------------------|
A|-0--0-0-0-0-0-0-0--0-0-0-0-0-0------------|
E|------------------------------------------|

   F/A E/A D/A     A
E|------------------------------------------|
B|-6---5---3-------2------------------------|
G|-5---4---2-------2------------------------|
D|-7---6---4-------2------------------------|
A|-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0----------|
E|------------------------------------------|

[Primeira Parte]

[Tab - Primeira Parte]

   A    D/A  F/A
E|------0----0------------------------------|
B|-2----3----6------------------------------|
G|-2----2----5------------------------------|
D|-2----4----7------------------------------|
A|-0----0----0------------------------------|
E|------------------------------------------|

   D/A A
E|------------------------------------------|
B|-7---2------------------------------------|
G|-7---2------------------------------------|
D|-7---2------------------------------------|
A|-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0-0----------|
E|------------------------------------------|

A               D/A
  Todo dia a insônia
                   F/A
Me convence que o céu
                    D/A  A
Faz tudo ficar infini___to
             D/A
E que a solidão
                     F/A
É pretensão de quem fica
                   D/A  A
Escondido fazendo fi___ta

[Segunda Parte]

[Tab - Segunda Parte]

   G
E|-----3-x-x-3---x-x---3-x-x-3---x-x--------|
B|-----3-x-x-3---x-x---3-x-x-3---x-x--------|
G|-----4-x-x-4---x-x---4-x-x-4---x-x--------|
D|-5-----------------5----------------------|
A|-5-----------------5----------------------|
E|-3-----------------3----------------------|

   F
E|-----5-x-x-6-5-x-----5-x-x-6-5-x----------|
B|-6---6-x-x-6-6-x-6---6-x-x-6-6-x----------|
G|-5-----x-x-5---x-5-----x-x-5---x----------|
D|------------------------------------------|
A|------------------------------------------|
E|------------------------------------------|

   G                 D/A
E|-----3-x-x-3---x-x-0--0-------------------|
B|-----3-x-x-3---x-x-3----3-----------------|
G|-----4-x-x-4---x-x-2------2---------------|
D|-5-----------------4--------4-------------|
A|-5-----------------0----------------------|
E|-3----------------------------------------|

   F4(7)                 F
E|-1--1-------1--1-------1--1---------------|
B|-1----1-----1----1-----1----1-------------|
G|-3------3---3------3---2------2-----------|
D|-1----------1----------3------------------|
A|-3----------3----------3------------------|
E|-1----------1----------1------------------|

G
  Todo dia tem a hora
             F   G
Da sessão coruja
                   D/A  F4(7)
Só entende quem namora

Agora ""vão bora""
   F                 A
Estamos bem por um triz

[Refrão]

[Tab - Refrão]

   A            G
E|--------------------3-x-x-3--x-x----------|
B|-2---2-2-x-2--------3-x-x-3--x-x----------|
G|-2---2-2-x-2--------4-x-x-4--x-x----------|
D|-2---2-4-x-2--x-5-------------------------|
A|-0---0-0-x-0--x-5-------------------------|
E|--------------x-3-------------------------|

   D             G
E|-x-2-3-x-3-2-x-----3-x-x-3--x-x-----------|
B|-x-3-3-x-3-3-x-----3-x-x-3--x-x-----------|
G|-x-2-2-x-2-2-x-----4-x-x-4--x-x-----------|
D|-x-0-0-x-0-0-x-5--------------------------|
A|---------------5--------------------------|
E|---------------3--------------------------|

   D             G
E|-x-2-3-x-3-2-x-----3-x-x-3--x-x-----------|
B|-x-3-3-x-3-3-x-----3-x-x-3--x-x-----------|
G|-x-2-2-x-2-2-x-----4-x-x-4--x-x-----------|
D|-x-0-0-x-0-0-x-5--------------------------|
A|---------------5--------------------------|
E|---------------3--------------------------|

   D             F/A
E|-x-2-x-x-2---x----------------------------|
B|-x-3-x-x-3---x-6-----6--------------------|
G|-x-2-x-x-2---x-5-----5--------------------|
D|-x-0-x-x-0---x-7-----7--------------------|
A|---------------0---0-0---0----------------|
E|------------------------------------------|

   A            G
E|--------------------3-x-x-3--x-x----------|
B|-2---2-2-x-2--------3-x-x-3--x-x----------|
G|-2---2-2-x-2--------4-x-x-4--x-x----------|
D|-2---2-4-x-2--x-5-------------------------|
A|-0---0-0-x-0--x-5-------------------------|
E|--------------x-3-------------------------|

   D             G
E|-x-2-3-3-3-2-x-----3-x-x-3--x-x-----------|
B|-x-3-3-3-3-3-x-----3-x-x-3--x-x-----------|
G|-x-2-2-2-2-2-x-----4-x-x-4--x-x-----------|
D|-x-0-0-0-0-0-x-5--------------------------|
A|---------------5--------------------------|
E|---------------3--------------------------|

   D             G
E|-x-2-3-x-3-2-x-----3-x-x-3--x-x-----------|
B|-x-3-3-x-3-3-x-----3-x-x-3--x-x-----------|
G|-x-2-2-x-2-2-x-----4-x-x-4--x-x-----------|
D|-x-0-0-x-0-0-x-5--------------------------|
A|---------------5--------------------------|
E|---------------3--------------------------|

   D             F/A
E|-x-2-x-x-2---x----------------------------|
B|-x-3-x-x-3---x-6-----6--------------------|
G|-x-2-x-x-2---x-5-----5--------------------|
D|-x-0-x-x-0---x-7-----7--------------------|
A|---------------0---0-0---0----------------|
E|------------------------------------------|

   A
E|------------------------------------------|
B|------------------------------------------|
G|-2----------------------------------------|
D|-2----------------------------------------|
A|-0--0-0-0-0-0-0-0-0-0-0-0-0-0-0-----------|
E|------------------------------------------|

     G            D  G
Pro dia nascer feliz
                  D  G
Pro dia nascer feliz
                        D
O mundo inteiro acordar
              F/A     A
E a gente dormir, dormir
     G            D  G
Pro dia nascer feliz
                       D  G
Essa é a vida que eu quis
                     D
O mundo inteiro acordar
              F/A  A
E a gente dormir

[Terceira Parte]

A             D/A
  Todo dia é dia
                    F/A
E tudo em nome do amor 
                           D/A  A
Ah! Essa é a vida que eu quis
            D/A
Procurando vaga
                         F/A
Uma hora aqui, a outra ali
                           D/A  A
No vai e vem dos teus quadris

[Quarta Parte]

G                      F    G
  Nadando contra a corrente
              F  G
Só pra exercitar
                    F4(7)
Todo o músculo que sente
    F                    A
Me dê de presente o teu bis

[Refrão]

Pro dia nascer feliz

Pro dia nascer feliz

O mundo inteiro acordar
                      F/A  A
E a gente dormir, dormir
               
     G            D  G
Pro dia nascer feliz
                  D  G
Pro dia nascer feliz
                        D
O mundo inteiro acordar
              F/A  A
E a gente dormir

( A ) 

[Tab - Interlúdio]

E|---------0--------------------------------|
B|-------5---5------------------------------|
G|-----6-------6----------------------------|
D|---7-----------7--------------------------|
A|-0----------------------------------------|
E|------------------------------------------|

E|---------0--------------------------------|
B|-----------3------------------------------|
G|-------2-----2----------------------------|
D|----5----------5--------------------------|
A|-0----------------------------------------|
E|------------------------------------------|

E|---------0--------------------------------|
B|-----------2------------------------------|
G|-------2-----2----------------------------|
D|----4----------4--------------------------|
A|-0----------------------------------------|
E|------------------------------------------|

E|---------0--------------------------------|
B|-------5---5------------------------------|
G|-----6-------6----------------------------|
D|---7-----------7--------------------------|
A|-0----------------------------------------|
E|------------------------------------------|

[Quinta Parte]

A             D/A
  Todo dia é dia
                  F/A
Tudo em nome do amor
                           D/A  A
Ah, essa é a vida que eu quis
            D/A
Procurando vaga
                         F/A
Uma hora aqui, a outra ali
                           D/A  A
No vai e vem dos teus quadris

[Sexta Parte]

G                      F    G
  Nadando contra a corrente
              F  G
Só pra exercitar
                    F4(7)
Todo o músculo que sente
    F                    A
Me dê de presente o teu bis

[Refrão]


Pro dia nascer feliz

Pro dia nascer feliz

O mundo inteiro acordar
                      F/A  A
E a gente dormir, dormir
     G
Pro dia nascer feliz

Pro dia nascer feliz

O mundo inteiro acordar
              
E a gente dormir

[Solo] A  G  D/F#  G

[Tab - Solo]

E|-12b-------12--12--12--12----------------------------|
B|-12b13----b13-b13-b13-b13r12p10----10~---10~\--------|
G|--------------------------------11-------------------|
D|-----------------------------------------------------|
A|-----------------------------------------------------|
E|-----------------------------------------------------|

E|-----------------------------------------------------|
B|-----------------------------------------------------|
G|-------------------------9b11r9--7-------------------|
D|-------7---9b10-9-7~---7-----------9b10r9-7----------|
A|-7-7/9---9-------------------------------------------|
E|-----------------------------------------------------|

E|-----------------------------------------------------|
B|-----------------------------------------------------|
G|-----9-------7-------6-------7-------9-------7---6-6-|
D|-7-------7-7-----7-7-----7-7-----7-7-----7-7---------|
A|-----------------------------------------------------|
E|-----------------------------------------------------|

E|-----------------------------------------------------|
B|-----------------------------------------------------|
G|-6------7b9r7p6-7p6----------------------------------|
D|---7-5--------------7-5-4-5p4------------------------|
A|------------------------------7-5-/4-----------------|
E|-------------------------------------5-5-------------|

E|-----------------------------------------------------|
B|-----------------------------------------------------|
G|--------------5b-------------------------------------|
D|-----5---7-7~----------------------------------------|
A|-5/7---7---------------------------------------------|
E|-----------------------------------------------------|

E|-----5-5----5-5----5-5----5-5----5-5-8b--------------|
B|-----5-5----5-5----5-5----5-5----5-5-----------------|
G|-7b------7b-----7b-----7b-----7b---------------------|
D|-----------------------------------------------------|
A|-----------------------------------------------------|
E|-----------------------------------------------------|

E|-5---------------------------------------------------|
B|---5-8b-5-------------------8---10-10~---/10-13-10---|
G|----------7b9r7p5---7~~--/9---9----------------------|
D|------------------7----------------------------------|
A|-----------------------------------------------------|
E|-----------------------------------------------------|

E|-----------------------------------------------------|
B|-15b17-15b17-15b17-------13-13-13~--------13---------|
G|---------------------/14------------12-14------------|
D|-----------------------------------------------------|
A|-----------------------------------------------------|
E|-----------------------------------------------------|

E|-----------------------------------------------------|
B|-15b17---b17-b17-b17-b17r15p13--15b17---b17-b17-b17--|
G|-----------------------------------------------------|
D|-----------------------------------------------------|
A|-----------------------------------------------------|
E|-----------------------------------------------------|

E|-----------------------------------------------------|
B|-b17r15p13---15b17---b17-b17-b17-b17r15p13--15b17~~--|
G|-----------------------------------------------------|
D|-----------------------------------------------------|
A|-----------------------------------------------------|
E|-----------------------------------------------------|

E|-----17----17-17-17-17-17------17-22b24--------------|
B|-/19----19-----------------/19-----------------------|
G|-----------------------------------------------------|
D|-----------------------------------------------------|
A|-----------------------------------------------------|
E|-----------------------------------------------------|

[Final] A  D/A  F/A  E9/A  D/A
        A  D/A  F/A  E9/A  D/A  A"
Aha - Take On Me,
Linkin Park - In the End,
Creed - My Sacrifice,
Queen - Crazy Little Thing Called Love,"[Intro] D  D4  D  D4
        D  D4  D  D4  D

[Primeira Parte]

       D   D4  D             D4  D              
This thing,      called love
   G          C     G
I just can't handle it
       D   D4  D             D4  D              
This thing,      called love
   G         C       G
I must, get round to it
          D      
I ain't ready
  Bb5          C5          D
Crazy little thing called love

       D   D4  D             D4  D              
This thing,      called love
     G           C         G
It cries, in a cradle all night
     D    D4  D          D4  D             
It swings,      it jives
     G                    C    G
It shakes all overlike a jellyfish
         D       
I kinda like it
  Bb5          C5          D
Crazy little thing called love

[Ponte]

               G          
There goes my baby
      C                    G
She knows how to rock and roll
                Bb5                         
She drives me crazy
              E
She gives me hot and cold fever
     A                              
She leaves me in a cool
           E  (Riff 1)
Cool sweat

[Tab - Riff 1]

                E
E|------------------------------------------|
B|--------------5-5-5-5-5-5-----------------|
G|--------------4-4-4-4-4-4--2-2------------|
D|-------------------------------5-5-4-4-2--|
A|-5-4-3------------------------------------|
E|--------5-4-3-----------------------------|

[Segunda Parte]

            D   D4  D       D4  D 
I gotta be cool,      relax
     G       C       G
Get hip, get on my tracks
        D        D4  D            D4  D
Take a back seat,      hitch-hike
     G                      C     G        
And take a long ride on my motor bike
           D
Until I'm ready
  Bb5          C5          D
Crazy little thing called love

[Solo] Bb  D  Bb 
       E  A  E (Riff 2)

[Tab - Solo]

E|-9/10--10--10--10--10--10-----------------|
B|-9/10------10--10--10--10-----------------|
G|------------------------------------------|
D|------------------------------------------|
A|------------------------------------------|
E|------------------------------------------|

E|---------------------------------------13-|
B|-13b15-b15-b15r13p11-13-11~------13b15----|
G|------------------------------------------|
D|------------------------------------------|
A|------------------------------------------|
E|------------------------------------------|

E|-9/10-10-10-------------------------10-10-|
B|-9/10----10--12--10-----------10-12----10-|
G|-------------12--10h11--10h11-------------|
D|------------------------------------------|
A|------------------------------------------|
E|------------------------------------------|

E|-------13-------13----------------------13|
B|-13b15----13b15----15r13p11-13-11-13b15---|
G|------------------------------------------|
D|------------------------------------------|
A|------------------------------------------|
E|------------------------------------------|

E|-11/12-12----12---------------------------|
B|-11/12----15----14------------------------|
G|-------------------14-11-----14-14--------|
D|-------------------------14---------------|
A|------------------------------------------|
E|------------------------------------------|

E|------------------------------------------|
B|------------------------------------------|
G|-16b18r16p14-16-14------------------------|
D|------------------------------------------|
A|------------------------------------------|
E|------------------------------------------|

[Tab - Riff 2]

                   E
E|-------------------0-0-0-0-0-0------------|
B|-------------------0-0-0-0-0-0------------|
G|-------------------1-1-1-1-1-1------------|
D|-------------------2-2-2-2-2-2------------|
A|-5-4-3-------------2-2-2-2-2-2----0-------|
E|----------5-4-3----0-0-0-0-0-0------------|

[Segunda Parte]

I gotta be cool, relax
Get hip, get on my tracks
Take a back seat, hitch-hike
And take a long ride
On my motor bike
Until I'm ready
Crazy little thing called love

[Primeira Parte]

       D   D4  D             D4  D              
This thing,      called love
   G            C     G
I just  can't  handle it
       D   D4  D             D4  D              
This thing,      called love
   G         C       G
I must, get round to it
          D      
I ain't ready
  Bb5          C5          D
Crazy little thing called love

[Refrão Final]

  Bb5          C5          D
Crazy little thing called love
  Bb5          C5          D
Crazy little thing called love
  Bb5          C5          D
Crazy little thing called love
  Bb5          C5          D
Crazy little thing called love

  Bb5          C5          D
Crazy little thing called love
  Bb5          C5          D
Crazy little thing called love
  Bb5          C5          D
Crazy little thing called love"
Roupa Nova - Whisky a Go-Go,
Lulu Santos - Dancin Days,"D A/C# Bm A G F#m Em F#m G A

[Verse 1]
D                      Bb
Abra suas asas, solte suas feras
            G    A            D    A
Caia na gandaia, entre nessa festa
             D                 Bb
E leve com você seu sonho mais louco
                   G    A             D     A
Eu quero ver seu corpo lindo, leve e solto

[Pre-chorus]
            D    A/C#  Bm       A
A gente às vezes sente, sofre, dança
 G            F#m  Em F#m G A
Sem querer dançar
         D    A/C#  Bm
A nossa festa vale tudo
 A          G       F#m   Em    A
Vale ser alguém como eu, como você

[Verse 1]
              D              Bb
Abra suas asas, solte suas feras
            G   A            D     A
Caia na gandaia, entre nessa festa
             D                   Bb
E leve com você seu sonho mais louco
                   G    A             D     A
Eu quero ver seu corpo lindo, leve e solto

[Pre-chorus]
            D    A/C#  Bm       A
A gente às vezes sente, sofre, dança
 G            F#m  Em F#m G A
Sem querer dançar
         D    A/C#  Bm
A nossa festa vale tudo
 A          G       F#m   Em    A
Vale ser alguém como eu, como você

[Chorus]
D
Dance bem, dance mal
D
Dance sem parar
D
Dance bem, dance até
D                  A
Sem saber dançar
D
Dance bem, dance mal
D
Dance sem parar
D
Dance bem, dance até
D
Sem saber dançar

[outro]
D A/C# Bm A G F#m Em F#m G A
D A/C# Bm A G F#m Em F#m G A  D"
Legião Urbana - Será,
Mamonas Assassinas - Chopis Centis,
A Turma Do Balão Mágico - Superfantastico (Super Fantastico) (feat. Djavan),
O Rappa - Pescador de ilusões,
Legião Urbana - Pais e Filhos,"[Tab - Dedilhado Intro]

E|------------8---5---7-----7--------------|
B|-1-3--5----------------------------------|
G|--------0-----0---0-----0---0------------|
D|----------0-----4-----0------------------|
A|-0-2--3----------------------------------|
E|-----------------------------------------|

[Tab - Dedilhado Primeira Parte]

E|------------8---5---7-----7--------------|
B|-1-3--5----------------------------------|
G|--------0-----0---0-----0---0------------| (4x)
D|----------0-----4-----0------------------|
A|-0-2--3----------------------------------|
E|-----------------------------------------|

E|------------8---5------------------------|
B|-1-3--5----------------------------------|
G|--------0-----0--------------------------|
D|----------0-----4------------------------|
A|-0-2--3----------------------------------|
E|-----------------------------------------|

[Primeira parte] 

Estátuas e cofres

E paredes pintadas

Ninguém sabe

O que aconteceu

Ela se jogou da janela

Do quinto andar

Nada é fácil de entender

[Segunda Parte]

[Tab - Dedilhado - Segunda Parte]

   F9           Em            C          
E|-3----3---3---3----3---3----0--0--0-------|
B|-1--1---1---1-0--0---0---0--1-1--1--1-----|
G|-2------------0-------------0-------------|
D|-3------------2-------------2-------------|
A|----------------------------3-------------|
E|------------------------------------------|

   Bm         Am7         Am7
E|-2---2---2---3---3---3---3---3---3--------|
B|-3-3---3---3-1-1---1---1-1-1---1---1------|
G|-4-----------0-----------0----------------|
D|-4-----------2-----------2----------------|
A|-2-----------0-----------0----------------|
E|------------------------------------------|
 
   D           D
E|-5---5---5---5---5---5--------------------|
B|-3-3---3---3-3-3---3---3------------------|
G|-2-----------2----------------------------|
D|-0-----------0----------------------------|
A|------------------------------------------|
E|------------------------------------------|

F9         Em  C
   Dorme agora
Bm       Am7
Uhmhumm!
                 D
É só o vento lá fora

[Terceira parte] 
 
C        D     G
  Quero colo, vou fugir de casa
 C        D        G
Posso dormir aqui com vocês
C        D        G
  Estou com medo tive um pesadelo
C         D        G
  Só vou voltar depois das três

( C  D )

[Quarta Parte]

[Tab - Dedilhado - Segunda Parte]

   F9           Em            C          
E|-3----3---3---3----3---3----0--0--0-------|
B|-1--1---1---1-0--0---0---0--1-1--1--1-----|
G|-2------------0-------------0-------------|
D|-3------------2-------------2-------------|
A|----------------------------3-------------|
E|------------------------------------------|

   Bm         Am7         Am7
E|-2---2---2---3---3---3---3---3---3--------|
B|-3-3---3---3-1-1---1---1-1-1---1---1------|
G|-4-----------0-----------0----------------|
D|-4-----------2-----------2----------------|
A|-2-----------0-----------0----------------|
E|------------------------------------------|
 
   D           D
E|-5---5---5---5---5---5--------------------|
B|-3-3---3---3-3-3---3---3------------------|
G|-2-----------2----------------------------|
D|-0-----------0----------------------------|
A|------------------------------------------|
E|------------------------------------------|

F9      Em        C
   Meu filho vai ter
         Bm
Nome de santo
Am7
Uhhmm
              D
Quero o nome mais bonito

[Refrão] 

      G     C
É preciso amar as pessoas
      Em                  C
Como se não houvesse amanhã
           G      C          Em
Porque se você parar pra pensar
                C  G
Na verdade não há

[Quinta parte]

    G
Me diz, por que que o céu é azul

Explica a grande fúria do mundo

São meus filhos que tomam conta de mim

Eu moro com a minha mãe mas meu pai vem me visitar

Eu moro na rua não tenho ninguém

Eu moro em qualquer lugar

Já morei em tanta casa que nem me lembro mais
                C
Eu moro com os meus pais

[Refrão Final] 

[Tab - Refrão Final]

E|-------8---------10-------------7-7/-10--12-10-----|
B|---------8----------10--------8---7/-10------------|
G|-7-7/9-----9-9/11------11\7-7-----7/-10------------| (8x)
D|---------------------------------------------------|
A|---------------------------------------------------|
E|---------------------------------------------------|
      G     C
É preciso amar as pessoas
      Em                  C
Como se não houvesse amanhã
           G      C            Em
Porque se você parar pra pensar
                C  
Na verdade não há

 G                  C
Sou uma gota d'água
 Em                C
Sou um grão de areia
         G
Você me diz que seus pais
       C
Não entendem
       Em                  C
Mas você não entende seus pais

      G
Você culpa seus pais por tudo

Isso é absurdo

São crianças como você

O que você vai ser

Quando você crescer?"
